symbol,date,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalCapitalization,PreferredStockEquity,CommonStockEquity,NetTangibleAssets,InvestedCapital,TangibleBookValue,TotalDebt,NetDebt,ShareIssued,OrdinarySharesNumber,PreferredSharesNumber,TreasurySharesNumber
GS,2017-03-31,894069000000.0,807152000000.0,86917000000.0,298165000000.0,11203000000.0,75714000000.0,82850000000.0,334083000000.0,71647000000.0,258369000000.0,135334000000.0,881753383.0,394791563.0,254998000.0,486961820.0
GS,2017-06-30,906518000000.0,819843000000.0,86675000000.0,302689000000.0,11203000000.0,75472000000.0,82595000000.0,344539000000.0,71392000000.0,269067000000.0,158179000000.0,881816771.0,388213152.0,254998000.0,493603619.0
GS,2017-09-30,930132000000.0,843840000000.0,86292000000.0,310019000000.0,11203000000.0,75089000000.0,82234000000.0,355057000000.0,71031000000.0,279968000000.0,163358000000.0,882339257.0,379098583.0,254998000.0,503240674.0
GS,2017-12-31,917000000000.0,835000000000.0,82000000000.0,309841000000.0,11853000000.0,82000000000.0,82000000000.0,359806000000.0,82000000000.0,289416000000.0,179365000000.0,884592865.0,374808805.0,220998000.0,509784060.0
GS,2018-03-31,974000000000.0,890000000000.0,84000000000.0,310000000000.0,11203000000.0,84000000000.0,84000000000.0,274000000000.0,84000000000.0,274000000000.0,153000000000.0,890408672.0,377706096.0,194998000.0,512702576.0
GS,2018-06-30,969000000000.0,882000000000.0,87000000000.0,314000000000.0,11203000000.0,87000000000.0,87000000000.0,271000000000.0,87000000000.0,271000000000.0,140000000000.0,890582030.0,377879137.0,194998000.0,512702893.0
GS,2018-09-30,958000000000.0,871000000000.0,87000000000.0,316000000000.0,11203000000.0,87000000000.0,87000000000.0,271000000000.0,87000000000.0,271000000000.0,152000000000.0,890745017.0,372739352.0,194998000.0,518005665.0
GS,2018-12-31,933000000000.0,843000000000.0,90000000000.0,314000000000.0,11203000000.0,90000000000.0,90000000000.0,265000000000.0,90000000000.0,265000000000.0,135000000000.0,891356284.0,367741973.0,194998000.0,523614311.0
GS,2019-03-31,925000000000.0,835000000000.0,90000000000.0,315000000000.0,11203000000.0,90000000000.0,90000000000.0,270000000000.0,90000000000.0,270000000000.0,182000000000.0,896690426.0,366771581.0,194998000.0,529918845.0
GS,2019-06-30,945000000000.0,854000000000.0,91000000000.0,312000000000.0,11203000000.0,91000000000.0,91000000000.0,271000000000.0,91000000000.0,271000000000.0,180000000000.0,896692038.0,360539618.0,188998000.0,536152420.0
GS,2019-09-30,1007000000000.0,915000000000.0,92000000000.0,309000000000.0,11203000000.0,92000000000.0,92000000000.0,269000000000.0,92000000000.0,269000000000.0,175000000000.0,896762705.0,357509026.0,159028999.0,539253679.0
GS,2019-12-31,993000000000.0,903000000000.0,90000000000.0,297000000000.0,11203000000.0,90000000000.0,90000000000.0,255000000000.0,90000000000.0,255000000000.0,122000000000.0,896782652.0,347343184.0,188998000.0,549439468.0
GS,2020-03-31,1090000000000.0,998000000000.0,92000000000.0,318000000000.0,11203000000.0,92000000000.0,92000000000.0,263000000000.0,92000000000.0,263000000000.0,157000000000.0,901409002.0,343856654.0,188998000.0,557552348.0
GS,2020-06-30,1142000000000.0,1050000000000.0,92000000000.0,315000000000.0,11203000000.0,92000000000.0,92000000000.0,267000000000.0,92000000000.0,267000000000.0,135000000000.0,901490046.0,343935256.0,188998000.0,557554790.0
GS,2020-09-30,1132000000000.0,1039000000000.0,93000000000.0,307000000000.0,11203000000.0,93000000000.0,93000000000.0,262000000000.0,93000000000.0,262000000000.0,109000000000.0,901631821.0,344070790.0,187198000.0,557561031.0
GS,2020-12-31,1163000000000.0,1067000000000.0,96000000000.0,309000000000.0,11203000000.0,96000000000.0,96000000000.0,266000000000.0,96000000000.0,266000000000.0,110000000000.0,901692041.0,344088725.0,266998000.0,557603316.0
GS,2021-03-31,1302000000000.0,1204000000000.0,98000000000.0,317000000000.0,9203000000.0,98000000000.0,98000000000.0,277000000000.0,98000000000.0,277000000000.0,86000000000.0,906270683.0,340018220.0,186998000.0,566252463.0
GS,2021-06-30,1388000000000.0,1286000000000.0,102000000000.0,341000000000.0,9203000000.0,102000000000.0,102000000000.0,301000000000.0,102000000000.0,301000000000.0,61000000000.0,906379865.0,337276277.0,159998000.0,569103588.0
GS,2021-09-30,1443000000000.0,1337000000000.0,106000000000.0,349000000000.0,9953000000.0,106000000000.0,106000000000.0,292000000000.0,106000000000.0,292000000000.0,80000000000.0,906430051.0,334792980.0,159998000.0,571637071.0
GS,2021-12-31,1463000000000.0,1353000000000.0,110000000000.0,364000000000.0,10703000000.0,110000000000.0,110000000000.0,301000000000.0,110000000000.0,301000000000.0,40000000000.0,906430316.0,333573254.0,159998000.0,572857062.0
GS,2022-03-31,1589000000000.0,1474000000000.0,115000000000.0,373000000000.0,10703000000.0,115000000000.0,115000000000.0,316000000000.0,115000000000.0,316000000000.0,42000000000.0,917527245.0,343396311.0,159998000.0,574130934.0
JPM,2017-03-31,2546290000000.0,2290427000000.0,255863000000.0,660610000000.0,26068000000.0,229795000000.0,201645000000.0,649450000000.0,175577000000.0,419655000000.0,,4104933895.0,3552803801.0,318700000.0,552130094.0
JPM,2017-06-30,2563174000000.0,2304691000000.0,258483000000.0,674020000000.0,26068000000.0,232415000000.0,204603000000.0,670159000000.0,178535000000.0,437744000000.0,,4104933895.0,3518964410.0,318700000.0,585969485.0
JPM,2017-09-30,2563074000000.0,2304692000000.0,258382000000.0,665772000000.0,26068000000.0,232314000000.0,204527000000.0,663952000000.0,178459000000.0,431638000000.0,,4104933895.0,3469725577.0,318700000.0,635208318.0
JPM,2017-12-31,2533600000000.0,2277907000000.0,255693000000.0,625659000000.0,26068000000.0,229625000000.0,201301000000.0,651393000000.0,175233000000.0,421768000000.0,,4104933895.0,3425298831.0,268400000.0,679635064.0
JPM,2018-03-31,2609785000000.0,2353584000000.0,256201000000.0,630238000000.0,26068000000.0,230133000000.0,201668000000.0,666837000000.0,175600000000.0,436704000000.0,21892000000.0,4104933895.0,3404776922.0,268400000.0,700156973.0
