symbol,date,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,EndCashPosition,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow
GS,2017-03-31,-3364000000.0,-1573000000.0,6261000000.0,123035000000.0,257000000.0,2310000000.0,-838000000.0,6000000.0,22124000000.0,-14464000000.0,-1503000000.0,-4202000000.0
GS,2017-06-30,-10489000000.0,-5369000000.0,3711000000.0,110888000000.0,207000000.0,3970000000.0,-683000000.0,1000000.0,14213000000.0,-8030000000.0,-1528000000.0,-11172000000.0
GS,2017-09-30,2734000000.0,-11144000000.0,14132000000.0,116610000000.0,207000000.0,5830000000.0,-689000000.0,0.0,15012000000.0,-6218000000.0,-2174000000.0,2045000000.0
GS,2017-12-31,-6623000000.0,-11030000000.0,11094000000.0,110051000000.0,749000000.0,-940000000.0,-975000000.0,1495000000.0,14399000000.0,-6770000000.0,-2654000000.0,-7598000000.0
GS,2018-03-31,-964000000.0,-9213000000.0,20629000000.0,120503000000.0,326000000.0,3550000000.0,-1563000000.0,0.0,17291000000.0,-11924000000.0,-1450000000.0,-2527000000.0
GS,2018-06-30,8598000000.0,-3590000000.0,5906000000.0,131417000000.0,221000000.0,4070000000.0,-2188000000.0,10000000.0,16295000000.0,-12847000000.0,0.0,6410000000.0
GS,2018-09-30,-5314000000.0,-4032000000.0,-3200000000.0,118871000000.0,386000000.0,4510000000.0,-2196000000.0,3000000.0,10914000000.0,-12680000000.0,-1244000000.0,-7510000000.0
GS,2018-12-31,18101000000.0,-5842000000.0,-583000000.0,130547000000.0,337000000.0,4590000000.0,-2035000000.0,25000000.0,6423000000.0,-9274000000.0,-1285000000.0,16066000000.0
GS,2019-03-31,-45006000000.0,-1501000000.0,3844000000.0,87884000000.0,,4372000000.0,-2128000000.0,,7695000000.0,-7776000000.0,-1250000000.0,-47134000000.0
GS,2019-06-30,9439000000.0,-1000000.0,-6230000000.0,91092000000.0,,4580000000.0,-2040000000.0,,6459000000.0,-13183000000.0,-1250000000.0,7399000000.0
GS,2019-09-30,8084000000.0,-17894000000.0,12812000000.0,94094000000.0,379000000.0,5180000000.0,-2229000000.0,0.0,9554000000.0,-12420000000.0,-1173000000.0,5855000000.0
