symbol,date,TotalRevenue,SpecialIncomeCharges,PretaxIncome,TaxProvision,NetIncome,NetIncomeCommonStockholders,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,InterestIncome,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,TaxRateForCalcs,TaxEffectOfUnusualItems
GS,2017-03-31,7411000000.0,-139000000.0,2539000000.0,284000000.0,2255000000.0,2162000000.0,2162000000.0,5.23,5.15,412499995.0,420099995.0,2746000000.0,2255000000.0,2378432000.0,257000000.0,2255000000.0,-139000000.0,-139000000.0,0.112,-15568000.0
GS,2017-06-30,7224000000.0,-22000000.0,2509000000.0,678000000.0,1831000000.0,1631000000.0,1631000000.0,4.0,3.95,406099995.0,413299995.0,3220000000.0,1831000000.0,1831000000.0,265000000.0,1831000000.0,-22000000.0,-22000000.0,0.270227,0.0
GS,2017-09-30,7701000000.0,-18000000.0,2976000000.0,848000000.0,2128000000.0,2035000000.0,2035000000.0,5.09,5.02,398199996.0,405699995.0,3411000000.0,2128000000.0,2140870967.741935,280000000.0,2128000000.0,-18000000.0,-18000000.0,0.284946,-5129032.258065
GS,2017-12-31,7197000000.0,-9000000.0,3108000000.0,5036000000.0,-1928000000.0,-2143000000.0,-2143000000.0,-5.51,-5.51,389799996.0,389799996.0,3736000000.0,-1928000000.0,-1922600000.0,350000000.0,-1928000000.0,-9000000.0,-9000000.0,0.4,-3600000.0
GS,2018-03-31,9192000000.0,-44000000.0,3419000000.0,587000000.0,2832000000.0,2737000000.0,2737000000.0,7.02,6.95,389099996.0,393799996.0,4230000000.0,2832000000.0,2868432000.0,299000000.0,2832000000.0,-44000000.0,-44000000.0,0.172,-7568000.0
GS,2018-06-30,8590000000.0,-148000000.0,3276000000.0,711000000.0,2565000000.0,2348000000.0,2348000000.0,6.04,5.98,387799996.0,392599996.0,4920000000.0,2565000000.0,2680879120.879121,335000000.0,2565000000.0,-148000000.0,-148000000.0,0.217033,-32120879.120879
GS,2018-09-30,7772000000.0,24000000.0,3078000000.0,554000000.0,2524000000.0,2453000000.0,2453000000.0,6.35,6.28,385399996.0,390499996.0,5061000000.0,2524000000.0,2504319688.109162,317000000.0,2524000000.0,24000000.0,24000000.0,0.179987,4319688.109162
GS,2018-12-31,7250000000.0,-516000000.0,2708000000.0,170000000.0,2538000000.0,2322000000.0,2322000000.0,6.11,6.04,379499996.0,384299996.0,5468000000.0,2538000000.0,3021607090.103397,377000000.0,2538000000.0,-516000000.0,-516000000.0,0.062777,-32392909.896603
GS,2019-03-31,8045000000.0,-37000000.0,2719000000.0,468000000.0,2251000000.0,2182000000.0,2182000000.0,5.73,5.71,379799996.0,382399996.0,5597000000.0,2251000000.0,2281636000.0,368000000.0,2251000000.0,-37000000.0,-37000000.0,0.172,-6364000.0
GS,2019-06-30,8638000000.0,-66000000.0,3127000000.0,706000000.0,2421000000.0,2198000000.0,2198000000.0,5.86,5.81,374499996.0,377999996.0,5760000000.0,2421000000.0,2472098816.757275,399000000.0,2421000000.0,-66000000.0,-66000000.0,0.225776,-14901183.242725
GS,2019-09-30,7470000000.0,-47000000.0,2416000000.0,539000000.0,1877000000.0,1793000000.0,1793000000.0,4.83,4.79,369999996.0,374299996.0,5459000000.0,1877000000.0,1913514486.754967,473000000.0,1877000000.0,-47000000.0,-47000000.0,0.223096,-10485513.245033
GS,2019-12-31,9141000000.0,-1090000000.0,2321000000.0,404000000.0,1917000000.0,1724000000.0,1724000000.0,4.74,4.69,362399996.0,367299996.0,4922000000.0,1917000000.0,2817271434.726411,464000000.0,1917000000.0,-1090000000.0,-1090000000.0,0.174063,-189728565.273589
