date,open_price,highest_price,lowest_price,close_price,volume,symbol,is_quarter,is_annual
2022-03-31,139.83,140.345,136.26,136.32,17353942,JPM,True,False
2022-03-30,141.9,142.12,139.91,140.54,8771027,JPM,False,False
2022-03-29,143.35,143.595,140.24,141.18,11316503,JPM,False,False
2022-03-28,140.0,140.97,137.895,140.87,10818077,JPM,False,False
2022-03-25,141.09,143.18,140.8,141.92,8186674,JPM,False,False
2022-03-24,140.3,140.71,139.11,140.69,10017625,JPM,False,False
2022-03-23,140.98,141.585,139.1999,139.78,12093218,JPM,False,False
2022-03-22,142.27,143.93,141.7202,142.62,13298395,JPM,False,False
2022-03-21,140.35,140.76,138.7301,139.65,12407732,JPM,False,False
2022-03-18,140.19,140.85,138.46,140.1,22981425,JPM,False,False
2022-03-17,136.86,140.19,135.9205,140.15,17050454,JPM,False,False
2022-03-16,134.87,138.49,134.43,138.4,20354896,JPM,False,False
2022-03-15,131.8,133.55,131.13,132.48,15096604,JPM,False,False
2022-03-14,129.46,132.92,129.23,130.17,15786898,JPM,False,False
2022-03-11,132.485,134.08,128.4249,128.89,20061789,JPM,False,False
2022-03-10,131.86,133.45,130.325,131.86,15604247,JPM,False,False
2022-03-09,132.9,135.24,132.44,133.44,17536202,JPM,False,False
2022-03-08,129.64,131.79,127.27,128.3,19207816,JPM,False,False
2022-03-07,132.17,132.69,128.9513,129.21,27560052,JPM,False,False
2022-03-04,134.94,135.42,132.4,134.4,21020675,JPM,False,False
2022-03-03,139.84,140.98,137.06,138.29,16640804,JPM,False,False
2022-03-02,137.29,140.04,136.6076,139.28,19405581,JPM,False,False
2022-03-01,140.04,140.48,133.58,136.45,36840448,JPM,False,False
2022-02-28,143.55,145.06,140.88,141.8,31315344,JPM,False,False
2022-02-25,145.25,150.1269,144.91,147.97,18367679,JPM,False,False
2022-02-24,142.94,144.99,139.78,144.55,25655100,JPM,False,False
2022-02-23,153.12,153.3,147.97,148.69,11799031,JPM,False,False
2022-02-22,150.6,153.24,150.41,151.87,11218553,JPM,False,False
2022-02-18,152.13,154.14,151.13,152.14,11733315,JPM,False,False
2022-02-17,153.0,153.73,150.665,151.43,11367457,JPM,False,False
2022-02-16,153.74,156.1,153.74,155.0,9076526,JPM,False,False
2022-02-15,154.51,155.94,153.85,154.72,9500867,JPM,False,False
2022-02-14,152.73,153.68,150.3178,152.49,17026491,JPM,False,False
2022-02-11,155.61,158.19,152.97,153.92,16830005,JPM,False,False
2022-02-10,156.66,159.03,155.22,155.95,16455635,JPM,False,False
2022-02-09,156.59,157.4305,155.82,156.6,9131135,JPM,False,False
2022-02-08,155.0,158.48,154.8,155.95,20411387,JPM,False,False
2022-02-07,153.27,153.62,150.85,153.07,12572283,JPM,False,False
2022-02-04,149.1,153.5,148.7673,152.56,16654409,JPM,False,False
2022-02-03,150.0,151.65,148.285,148.7,12474882,JPM,False,False
2022-02-02,150.5,150.94,148.07,149.94,12441136,JPM,False,False
2022-02-01,148.69,151.47,148.3,151.15,14584935,JPM,False,False
2022-01-31,145.64,148.79,144.67,148.6,13985745,JPM,False,False
2022-01-28,144.19,146.76,142.17,146.61,14116969,JPM,False,False
2022-01-27,149.42,150.38,144.13,145.31,17544523,JPM,False,False
2022-01-26,148.72,150.57,145.96,147.92,20709097,JPM,False,False
2022-01-25,143.65,146.85,140.79,146.53,18915869,JPM,False,False
2022-01-24,142.28,145.48,139.57,144.95,28503121,JPM,False,False
2022-01-21,147.5,147.51,144.27,145.08,20705401,JPM,False,False
2022-01-20,148.99,150.61,147.36,147.66,14860843,JPM,False,False
2022-01-19,151.57,152.23,148.55,148.93,22160010,JPM,False,False
2022-01-18,155.78,155.78,150.54,151.27,31450099,JPM,False,False
2022-01-14,160.76,161.03,156.895,157.89,40158362,JPM,False,False
2022-01-13,168.34,169.81,167.89,168.23,13623418,JPM,False,False
2022-01-12,168.46,169.59,167.18,168.44,12568011,JPM,False,False
2022-01-11,168.26,168.5246,166.31,167.49,11704529,JPM,False,False
2022-01-10,169.07,169.31,165.53,167.32,12922455,JPM,False,False
2022-01-07,165.665,167.53,165.06,167.16,13913345,JPM,False,False
2022-01-06,166.91,167.37,163.87,165.52,14047498,JPM,False,False
2022-01-05,167.82,168.3589,163.73,163.78,17539410,JPM,False,False
2022-01-04,164.31,168.58,164.23,167.83,20195802,JPM,False,False
2022-01-03,159.86,162.64,159.51,161.7,13128118,JPM,False,False
2021-12-31,158.45,159.29,157.96,158.35,5724199,JPM,True,True
2021-12-30,159.11,160.24,158.37,158.48,6948171,JPM,False,False
2021-12-29,158.85,159.63,158.15,158.56,6398927,JPM,False,False
2021-12-28,158.2,160.15,158.08,158.64,6342743,JPM,False,False
2021-12-27,157.6,158.2,156.34,158.16,6189234,JPM,False,False
2021-12-23,157.61,159.12,157.21,157.26,8055154,JPM,False,False
2021-12-22,155.75,157.055,155.24,156.7,7272989,JPM,False,False
2021-12-21,155.41,157.18,155.09,156.09,11291338,JPM,False,False
2021-12-20,154.51,154.7,151.84,153.94,15147982,JPM,False,False
2021-12-17,159.315,159.38,155.18,156.76,28138027,JPM,False,False
2021-12-16,160.39,161.825,158.7,160.41,19542759,JPM,False,False
2021-12-15,159.85,159.85,157.35,157.94,14014167,JPM,False,False
2021-12-14,157.45,160.89,157.3,159.13,12563560,JPM,False,False
2021-12-13,159.5,159.79,157.2846,157.92,12068987,JPM,False,False
2021-12-10,161.32,161.702,159.13,159.82,10405374,JPM,False,False
2021-12-09,159.65,160.93,158.65,160.46,11189642,JPM,False,False
2021-12-08,162.66,163.27,160.17,160.71,11705673,JPM,False,False
2021-12-07,161.88,163.39,161.16,162.57,9851554,JPM,False,False
2021-12-06,161.01,162.61,159.46,160.16,11186493,JPM,False,False
2021-12-03,161.5,161.829,157.19,158.29,12681765,JPM,False,False
2021-12-02,159.83,163.25,158.8,161.21,12969926,JPM,False,False
2021-12-01,161.0,163.27,157.8,157.89,12258685,JPM,False,False
2021-11-30,159.155,160.63,158.29,158.83,18922616,JPM,False,False
2021-11-29,163.31,164.78,159.817,161.23,12104369,JPM,False,False
2021-11-26,162.14,162.65,158.82,161.93,13619276,JPM,False,False
2021-11-24,168.46,169.44,166.44,166.96,9629790,JPM,False,False
2021-11-23,165.5,168.555,165.37,168.28,12362344,JPM,False,False
2021-11-22,164.16,165.98,162.99,164.35,14551672,JPM,False,False
2021-11-19,161.3,162.11,159.45,160.92,12193634,JPM,False,False
2021-11-18,164.39,164.85,162.56,163.05,8123567,JPM,False,False
2021-11-17,165.21,165.56,163.39,164.47,9909576,JPM,False,False
2021-11-16,167.06,167.07,165.12,165.36,9706145,JPM,False,False
2021-11-15,167.21,167.785,166.0,166.56,6492463,JPM,False,False
2021-11-12,167.65,167.74,165.72,166.86,7974426,JPM,False,False
2021-11-11,167.52,168.68,166.9,167.61,5815267,JPM,False,False
2021-11-10,167.45,168.95,167.09,167.62,6999214,JPM,False,False
2021-11-09,167.35,168.47,166.595,167.78,7620477,JPM,False,False
2021-11-08,169.05,170.92,168.74,169.06,6413707,JPM,False,False
2021-11-05,168.9,170.09,167.41,168.05,7975570,JPM,False,False
2021-11-04,170.0,170.2,166.4901,168.29,9574152,JPM,False,False
2021-11-03,170.13,171.13,169.15,170.53,8402685,JPM,False,False
2021-11-02,169.8,171.69,168.92,170.47,7072025,JPM,False,False
2021-11-01,172.04,172.33,169.005,169.8,7363210,JPM,False,False
2021-10-29,171.18,172.24,169.39,169.89,8140070,JPM,False,False
2021-10-28,168.3,170.51,167.96,170.36,7212937,JPM,False,False
2021-10-27,170.32,170.7,167.34,167.83,9846993,JPM,False,False
2021-10-26,171.0,172.4902,170.54,171.4,8015067,JPM,False,False
2021-10-25,172.71,172.96,170.48,170.94,10159202,JPM,False,False
2021-10-22,170.03,172.09,169.7,171.78,8817895,JPM,False,False
2021-10-21,170.755,171.3293,168.68,169.5,8415166,JPM,False,False
2021-10-20,168.3,170.87,167.46,170.84,8185565,JPM,False,False
2021-10-19,167.4,168.65,166.58,168.57,8053949,JPM,False,False
2021-10-18,166.48,168.6084,165.91,166.55,12672909,JPM,False,False
2021-10-15,165.35,167.17,164.14,166.61,14267441,JPM,False,False
2021-10-14,161.75,164.01,160.06,163.47,15180727,JPM,False,False
2021-10-13,164.07,165.41,160.6,161.0,22753485,JPM,False,False
2021-10-12,165.75,166.6898,164.77,165.36,13032633,JPM,False,False
2021-10-11,170.8,171.29,166.46,166.64,12154737,JPM,False,False
2021-10-08,170.02,171.34,169.295,170.22,8190144,JPM,False,False
2021-10-07,171.2,171.51,169.54,170.09,10195443,JPM,False,False
2021-10-06,167.99,169.1,166.0,169.02,8692607,JPM,False,False
2021-10-05,167.21,170.14,166.67,168.66,12292877,JPM,False,False
2021-10-04,166.97,170.437,165.73,166.95,14120044,JPM,False,False
2021-10-01,164.0,168.3,163.6,167.13,11284976,JPM,False,False
2021-09-30,166.92,166.99,162.79,163.69,13168016,JPM,True,False
