symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,AmortizationOfIntangibles,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,CashFlowFromContinuingFinancingActivities,CashFlowFromContinuingInvestingActivities,CashFlowFromContinuingOperatingActivities,ChangeInAccountPayable,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInOtherWorkingCapital,ChangeInPayable,ChangeInPayablesAndAccruedExpense,ChangeInReceivables,ChangeInWorkingCapital,ChangesInAccountReceivables,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredIncomeTax,DeferredTax,Depreciation,DepreciationAmortizationDepletion,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetPreferredStockIssuance,NetShortTermDebtIssuance,OperatingCashFlow,OperatingGainsLosses,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PreferredStockIssuance,PreferredStockPayments,ProceedsFromStockOptionExercised,PurchaseOfBusiness,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfInvestment,SaleOfPPE,ShortTermDebtIssuance,ShortTermDebtPayments,StockBasedCompensation
GS,1999-02-28,3M,USD,,,2836000000.0,-103000000.0,0.0,2957000000.0,-45000000.0,-2403000000.0,,509000000.0,,,5966000000.0,-5440000000.0,-5440000000.0,260000000.0,786000000.0,,509000000.0,,,,,,,97000000.0,97000000.0,,3345000000.0,2957000000.0,-2506000000.0,,,,-45000000.0,,4468000000.0,4468000000.0,-3748000000.0,,,1007000000.0,1007000000.0,58000000.0,3287000000.0,720000000.0,-330000000.0,,-103000000.0,,2567000000.0,-2403000000.0,,,-4293000000.0,,,,,,,-3748000000.0,,,,,,
GS,1999-05-31,3M,USD,,,3345000000.0,-93000000.0,,-712000000.0,-8000000.0,917000000.0,,197000000.0,,,,,,,-9884000000.0,,197000000.0,,,,,,,61000000.0,61000000.0,,0.0,-712000000.0,824000000.0,,,,-8000000.0,,2532000000.0,2532000000.0,3447000000.0,,,340000000.0,340000000.0,,689000000.0,5979000000.0,-4040000000.0,,-93000000.0,,-5290000000.0,917000000.0,,,12539000000.0,,,,,,,3447000000.0,,,,,,
GS,1999-08-31,3M,USD,,,0.0,-172000000.0,,2375000000.0,-196000000.0,-3821000000.0,,-1642000000.0,,,,,,,-652000000.0,,-1642000000.0,,,,751000000.0,751000000.0,,71000000.0,71000000.0,,1900000000.0,2375000000.0,-3993000000.0,,,,-196000000.0,,2098000000.0,2098000000.0,-271000000.0,,0.0,638000000.0,638000000.0,,5270000000.0,1827000000.0,-2842000000.0,-24000000.0,-172000000.0,,3443000000.0,-3821000000.0,,,-4629000000.0,,,,,,,-271000000.0,,,,,,
GS,1999-11-30,3M,USD,,,1900000000.0,-475000000.0,-54000000.0,8842000000.0,-405000000.0,-7282000000.0,,1155000000.0,,,,,,,7213000000.0,,1155000000.0,,,,1000000.0,1000000.0,,108000000.0,108000000.0,,3055000000.0,8842000000.0,-7757000000.0,,,,-405000000.0,,1902000000.0,1902000000.0,-181000000.0,,-6000000.0,723000000.0,723000000.0,,6060000000.0,1721000000.0,2842000000.0,70000000.0,-475000000.0,,4339000000.0,-7282000000.0,,,-15327000000.0,,,,,,,-181000000.0,,,,,,
GS,2000-02-29,3M,USD,,,3055000000.0,-292000000.0,-54000000.0,4935000000.0,-241000000.0,-4917000000.0,,-223000000.0,,,,,,,-4824000000.0,,-223000000.0,,,,,,,101000000.0,101000000.0,,2832000000.0,4935000000.0,-5209000000.0,,,,-241000000.0,,5006000000.0,5006000000.0,-18000000.0,,,887000000.0,887000000.0,,4989000000.0,4988000000.0,,51000000.0,-292000000.0,,1000000.0,-4917000000.0,,,-1081000000.0,,,,,,,-18000000.0,,,,,,
GS,2000-05-31,3M,USD,,,2832000000.0,-291000000.0,-54000000.0,6160000000.0,-172000000.0,-4838000000.0,,1150000000.0,,,,,,,7905000000.0,,1150000000.0,,,,,,,102000000.0,102000000.0,,3982000000.0,6160000000.0,-5129000000.0,,,,-172000000.0,,3165000000.0,3165000000.0,-290000000.0,,,755000000.0,755000000.0,,6269000000.0,2875000000.0,,119000000.0,-291000000.0,,3394000000.0,-4838000000.0,,,-13600000000.0,,,,,,,-290000000.0,,,,,,
GS,2000-08-31,3M,USD,,,3982000000.0,-407000000.0,-55000000.0,-4981000000.0,-695000000.0,4730000000.0,,-946000000.0,,,,,,,-11944000000.0,,-946000000.0,,,,,,,119000000.0,119000000.0,,3036000000.0,-4981000000.0,4323000000.0,,,,-695000000.0,,4986000000.0,4986000000.0,-19000000.0,,-10000000.0,824000000.0,824000000.0,,-4916000000.0,4967000000.0,,-288000000.0,-407000000.0,,-9883000000.0,4730000000.0,,,15731000000.0,,,,,,,-19000000.0,,,,,,
GS,2000-11-30,3M,USD,,,3036000000.0,-2550000000.0,-54000000.0,-12778000000.0,-2548000000.0,16160000000.0,,834000000.0,,,,,,,14585000000.0,,834000000.0,,,,,,,164000000.0,164000000.0,,3870000000.0,-12778000000.0,13610000000.0,,,,-2548000000.0,,2903000000.0,2903000000.0,-455000000.0,,-582000000.0,601000000.0,601000000.0,,-12142000000.0,2448000000.0,,2000000.0,-2550000000.0,,-14590000000.0,16160000000.0,,,1162000000.0,,,,,,,-455000000.0,,,,,,
GS,2001-02-28,3M,USD,,,3870000000.0,-498000000.0,-58000000.0,4890000000.0,-528000000.0,-3448000000.0,,914000000.0,,,,,,,-2017000000.0,,914000000.0,,,,,,,196000000.0,196000000.0,,4784000000.0,4890000000.0,-3946000000.0,,,,-528000000.0,,1497000000.0,1497000000.0,,,-373000000.0,768000000.0,768000000.0,,5321000000.0,1497000000.0,,-30000000.0,-498000000.0,,3824000000.0,-3448000000.0,,,-2395000000.0,,,,,,,,,,,,,
GS,2001-05-31,3M,USD,,,4784000000.0,-347000000.0,-58000000.0,10866000000.0,-390000000.0,-11654000000.0,,-1178000000.0,,,,,,,-12785000000.0,,-1178000000.0,,,,,,,209000000.0,209000000.0,,3606000000.0,10866000000.0,-12001000000.0,,,,-390000000.0,,2136000000.0,2136000000.0,,,-261000000.0,577000000.0,577000000.0,,11185000000.0,2136000000.0,,41000000.0,-347000000.0,,9049000000.0,-11654000000.0,,,345000000.0,,,,,,,,,,,,,
GS,2001-08-31,3M,USD,,,3606000000.0,-291000000.0,-58000000.0,-8237000000.0,-777000000.0,10039000000.0,,1025000000.0,,,,,,,9006000000.0,,1025000000.0,,,,,,,226000000.0,226000000.0,,4631000000.0,-8237000000.0,9748000000.0,,,,-777000000.0,,1261000000.0,1261000000.0,,-187000000.0,-518000000.0,468000000.0,468000000.0,,-7661000000.0,1117000000.0,,-299000000.0,-291000000.0,,-8778000000.0,10039000000.0,,,339000000.0,,,,,,,,,,,,,
GS,2001-11-30,3M,USD,,,4631000000.0,-234000000.0,-57000000.0,12605000000.0,-214000000.0,-10113000000.0,,2278000000.0,,,,,,,-13404000000.0,,2278000000.0,,,,,,,242000000.0,242000000.0,,6909000000.0,12605000000.0,-10347000000.0,,,,-214000000.0,,1800000000.0,1800000000.0,0.0,-43000000.0,-286000000.0,497000000.0,497000000.0,,12948000000.0,1800000000.0,,63000000.0,-234000000.0,,11148000000.0,-10113000000.0,,,2500000000.0,,,,,,,0.0,,,,,,
GS,2002-02-28,3M,USD,,,6909000000.0,-206000000.0,-57000000.0,3992000000.0,-183000000.0,-3741000000.0,,68000000.0,,,,,,,-2396000000.0,,68000000.0,,,,,,,168000000.0,168000000.0,,6977000000.0,3992000000.0,-3947000000.0,,,,-183000000.0,,,,5139000000.0,,-283000000.0,524000000.0,524000000.0,,5995000000.0,5139000000.0,-1663000000.0,23000000.0,-206000000.0,,856000000.0,-3741000000.0,,,-2037000000.0,,,,,,,5139000000.0,,,,,,
GS,2002-05-31,3M,USD,,,6977000000.0,-101000000.0,-56000000.0,-1352000000.0,-177000000.0,854000000.0,,-675000000.0,,,,,,,-525000000.0,,-675000000.0,,,,,,,185000000.0,185000000.0,,6302000000.0,-1352000000.0,753000000.0,,,,-177000000.0,,,,-6187000000.0,,-349000000.0,563000000.0,563000000.0,,-2610000000.0,879000000.0,,-76000000.0,-101000000.0,,-3489000000.0,854000000.0,,,631000000.0,,,,,,,-6187000000.0,,,,,,
GS,2002-08-31,3M,USD,,,6302000000.0,-523000000.0,-58000000.0,14208000000.0,-584000000.0,-16237000000.0,,-2613000000.0,,,,,,,-17454000000.0,,-2613000000.0,,,,,,,192000000.0,192000000.0,,3689000000.0,14208000000.0,-16760000000.0,,,,-584000000.0,,2915000000.0,2915000000.0,-91000000.0,,-400000000.0,522000000.0,522000000.0,,14666000000.0,2824000000.0,,7000000.0,-523000000.0,,11842000000.0,-16237000000.0,,,503000000.0,,,,,,,-91000000.0,,,,,,
GS,2002-11-30,3M,USD,,,3689000000.0,-178000000.0,-57000000.0,-7755000000.0,-159000000.0,9047000000.0,,1133000000.0,,,,,,,8131000000.0,,1133000000.0,,,,,,,199000000.0,199000000.0,,4822000000.0,-7755000000.0,8869000000.0,,,,-159000000.0,,2759000000.0,2759000000.0,-7219000000.0,0.0,-383000000.0,505000000.0,505000000.0,,-7315000000.0,-4460000000.0,,19000000.0,-178000000.0,,-2855000000.0,9047000000.0,,,-18000000.0,,,,,,,-7219000000.0,,,,,,
