symbol,asOfDate,periodType,currencyCode,Amortization,AmortizationOfIntangiblesIncomeStatement,BasicAverageShares,BasicEPS,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfBusiness,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestIncome,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingRevenue,OtherGandA,OtherSpecialCharges,OtherunderPreferredStockDividend,PreferredStockDividends,PretaxIncome,ReconciledDepreciation,RestructuringAndMergernAcquisition,SalariesAndWages,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
GS,1999-02-28,3M,USD,,,444686000.0,2.264519,,,,444686000.0,2.264519,1007000000.0,,,1275000000.0,,,2861000000.0,3013000000.0,1007000000.0,1007000000.0,1007000000.0,,,1007000000.0,1007000000.0,1007000000.0,152000000.0,1007000000.0,152000000.0,,,,,1188000000.0,97000000.0,,1275000000.0,,1275000000.0,,0.0,181000000.0,0.152357,152000000.0,,,
GS,1999-05-31,3M,USD,,,472222218.0,0.72,,,,478873235.0,0.71,340000000.0,,616000000.0,1953000000.0,,,2886000000.0,3018000000.0,340000000.0,340000000.0,340000000.0,,,340000000.0,340000000.0,340000000.0,132000000.0,340000000.0,3469000000.0,,,,,-1487000000.0,61000000.0,,1953000000.0,78000000.0,2031000000.0,,0.0,-1827000000.0,0.4,3469000000.0,,,
GS,1999-08-31,3M,USD,,,476119398.0,1.34,,,,483333328.0,1.32,638000000.0,,1423000000.0,1704000000.0,,,3032000000.0,3238000000.0,638000000.0,638000000.0,638000000.0,,,638000000.0,638000000.0,638000000.0,206000000.0,638000000.0,3408000000.0,,,,,1082000000.0,71000000.0,,1704000000.0,92000000.0,1796000000.0,,0.0,444000000.0,0.4,3408000000.0,,,
GS,1999-11-30,3M,USD,,,,,,,,,,723000000.0,,1218000000.0,1527000000.0,,,3239000000.0,3453000000.0,723000000.0,723000000.0,723000000.0,,,723000000.0,723000000.0,723000000.0,214000000.0,723000000.0,3473000000.0,,,,,1209000000.0,108000000.0,,1527000000.0,117000000.0,1644000000.0,,0.0,486000000.0,0.4,3473000000.0,,,
GS,2000-02-29,3M,USD,,,484576493.0,1.83,,,,505387038.0,1.76,887000000.0,,2096000000.0,2247000000.0,,,3471000000.0,3694000000.0,887000000.0,887000000.0,887000000.0,,,887000000.0,887000000.0,887000000.0,223000000.0,887000000.0,4493000000.0,,,,,1479000000.0,101000000.0,,2247000000.0,106000000.0,2353000000.0,,0.0,592000000.0,0.4,4493000000.0,,,
GS,2000-05-31,3M,USD,,,484380047.0,1.56,,,,510262721.0,1.48,755000000.0,,942000000.0,2077000000.0,,,4041000000.0,4334000000.0,755000000.0,755000000.0,755000000.0,,,755000000.0,755000000.0,755000000.0,293000000.0,755000000.0,4155000000.0,,,,,1258000000.0,102000000.0,,2077000000.0,111000000.0,2188000000.0,,0.0,503000000.0,0.399841,4155000000.0,,,
GS,2000-08-31,3M,USD,,,481252642.0,1.71,,,,508894639.0,1.62,824000000.0,,2112000000.0,2263000000.0,,,4324000000.0,4551000000.0,824000000.0,824000000.0,824000000.0,,,824000000.0,824000000.0,824000000.0,227000000.0,824000000.0,4527000000.0,,,,,1373000000.0,119000000.0,,2263000000.0,126000000.0,2389000000.0,,0.0,549000000.0,0.399854,4527000000.0,,,
GS,2000-11-30,3M,USD,,,,,,,,,,601000000.0,,985000000.0,1186000000.0,,,4574000000.0,4817000000.0,601000000.0,601000000.0,601000000.0,,,601000000.0,601000000.0,601000000.0,243000000.0,601000000.0,3415000000.0,,,,,910000000.0,164000000.0,,1186000000.0,163000000.0,1349000000.0,,0.0,309000000.0,0.33956,3415000000.0,,,
GS,2001-02-28,3M,USD,,,515399994.0,1.49,,,,548599994.0,1.4,768000000.0,,2066000000.0,2367000000.0,,,4769000000.0,5137000000.0,768000000.0,768000000.0,768000000.0,,,768000000.0,768000000.0,768000000.0,368000000.0,768000000.0,4733000000.0,,,,,1259000000.0,196000000.0,,2367000000.0,124000000.0,2491000000.0,,0.0,491000000.0,0.389992,4733000000.0,,,
GS,2001-05-31,3M,USD,,,513799994.0,1.12,,,,545799994.0,1.06,577000000.0,,1795000000.0,1907000000.0,,,4168000000.0,4334000000.0,577000000.0,577000000.0,577000000.0,,,577000000.0,577000000.0,577000000.0,166000000.0,577000000.0,3990000000.0,,,,,946000000.0,209000000.0,,1907000000.0,102000000.0,2009000000.0,,0.0,369000000.0,0.390063,3990000000.0,,,
GS,2001-08-31,3M,USD,,,508099994.0,0.92,,,,539699994.0,0.87,468000000.0,,1267000000.0,1794000000.0,,,3699000000.0,3964000000.0,468000000.0,468000000.0,468000000.0,,,468000000.0,468000000.0,468000000.0,265000000.0,468000000.0,3661000000.0,,,,,767000000.0,226000000.0,,1794000000.0,90000000.0,1884000000.0,,0.0,299000000.0,0.389831,3661000000.0,,,
GS,2001-11-30,3M,USD,,,,,,,,,,497000000.0,,1126000000.0,1632000000.0,,,2691000000.0,3185000000.0,497000000.0,497000000.0,497000000.0,,,497000000.0,497000000.0,497000000.0,494000000.0,497000000.0,3427000000.0,,,,,724000000.0,242000000.0,,1632000000.0,90000000.0,1722000000.0,,0.0,227000000.0,0.313536,3427000000.0,,,
GS,2002-02-28,3M,USD,,,500199994.0,1.05,,,,534399994.0,0.98,524000000.0,,1203000000.0,1799000000.0,,,2102000000.0,2514000000.0,524000000.0,524000000.0,524000000.0,,,524000000.0,524000000.0,524000000.0,412000000.0,524000000.0,3598000000.0,,,,,839000000.0,168000000.0,,1799000000.0,70000000.0,1869000000.0,,0.0,315000000.0,0.375447,3598000000.0,,,
GS,2002-05-31,3M,USD,,,496799995.0,1.13,,,,530999994.0,1.06,563000000.0,,1074000000.0,1926000000.0,,,2383000000.0,3056000000.0,563000000.0,563000000.0,563000000.0,,,563000000.0,563000000.0,563000000.0,673000000.0,563000000.0,3851000000.0,,,,,901000000.0,185000000.0,,1926000000.0,86000000.0,2012000000.0,,0.0,338000000.0,0.375139,3851000000.0,,,
GS,2002-08-31,3M,USD,,,494899995.0,1.05,,,,520399994.0,1.0,522000000.0,,1107000000.0,1824000000.0,,,2223000000.0,2919000000.0,522000000.0,522000000.0,522000000.0,,,522000000.0,522000000.0,522000000.0,696000000.0,522000000.0,3649000000.0,,,,,794000000.0,192000000.0,,1824000000.0,75000000.0,1899000000.0,,0.0,272000000.0,0.342569,3649000000.0,,,
GS,2002-11-30,3M,USD,,,,,,,,,,505000000.0,,679000000.0,1195000000.0,,,2160000000.0,2780000000.0,505000000.0,505000000.0,505000000.0,,,505000000.0,505000000.0,505000000.0,620000000.0,505000000.0,2888000000.0,,,,,719000000.0,199000000.0,,1195000000.0,75000000.0,1270000000.0,,0.0,214000000.0,0.297636,2888000000.0,,,
GS,2003-02-28,3M,USD,,,489299995.0,1.35,,,,511999994.0,1.29,662000000.0,,1773000000.0,2094000000.0,,,1907000000.0,2632000000.0,662000000.0,662000000.0,662000000.0,,,662000000.0,662000000.0,662000000.0,725000000.0,662000000.0,4187000000.0,,,,,1018000000.0,189000000.0,,2094000000.0,55000000.0,2149000000.0,,0.0,356000000.0,0.349705,4187000000.0,,,
GS,2003-05-31,3M,USD,,,485799995.0,1.43,,,,510199994.0,1.36,695000000.0,,1526000000.0,1992000000.0,,,2000000000.0,2867000000.0,695000000.0,695000000.0,695000000.0,,,695000000.0,695000000.0,695000000.0,867000000.0,695000000.0,3985000000.0,,,,,1038000000.0,185000000.0,,1992000000.0,64000000.0,2056000000.0,,0.0,343000000.0,0.330443,3985000000.0,,,
GS,2003-08-31,3M,USD,,,488499995.0,1.39,,,,511699994.0,1.32,677000000.0,,1169000000.0,1896000000.0,,,1922000000.0,2841000000.0,677000000.0,677000000.0,677000000.0,,,677000000.0,677000000.0,677000000.0,919000000.0,677000000.0,3793000000.0,,,,,980000000.0,170000000.0,,1896000000.0,62000000.0,1958000000.0,,0.0,303000000.0,0.309184,3793000000.0,,,
